name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
"Dates, medjool",277/1160,21.32,1.81,0.15,74.97,6.7,66.47,64,0.9,54,62,696,1,149,0,0.05,0.06,1.61,0.805,0.249,-
Durian nutrition,147/615,64.99,1.47,5.33,27.09,3.8,-,6,0.43,30,39,436,2,44,19.7,0.374,0.2,1.074,0.23,0.316,-
"Fig nutrition: Figs, raw",74/310,79.11,0.75,0.3,19.18,2.9,16.26,35,0.37,17,14,232,1,142,2,0.06,0.05,0.4,0.3,0.113,0.11
"Grapefruit, pink and red",42/176,88.06,0.77,0.14,10.66,1.6,6.89,22,0.08,9,18,135,0,1150,31.2,0.043,0.031,0.204,0.262,0.053,0.13
"Grapefruit, white",33/138,90.48,0.69,0.1,8.41,1.1,7.31,12,0.06,9,8,148,0,33,33.3,0.037,0.02,0.269,0.283,0.043,0.13
"Grape nutrition: Grapes, red or green",69/288,80.54,0.72,0.16,18.1,0.9,15.48,10,0.36,7,20,191,2,66,10.8,0.069,0.07,0.188,0.05,0.086,0.19
Groundcherries or Cape Gooseberries,53/222,85.4,1.9,0.7,11.2,-,-,9,1,-,40,-,-,720,11,0.11,0.04,2.8,-,-,-
Guava nutrition facts,68/285,80.8,2.55,0.95,14.32,5.4,8.92,18,0.26,22,40,417,2,624,228.3,0.067,0.04,1.084,0.451,0.11,0.73
Gooseberries,44/184,87.87,0.88,0.58,10.18,4.3,-,25,0.31,10,27,198,1,290,27.7,0.04,0.03,0.3,0.286,0.08,0.37
Jackfruit nutrition,94/393,73.23,1.47,0.3,24.01,1.6,-,34,0.6,37,36,303,3,297,6.7,0.03,0.11,0.4,-,0.108,-
"Kiwi nutriion: Kiwifruit, gold",60/251,83.22,1.23,0.56,14.23,2,10.98,20,0.29,14,29,316,3,72,105.4,0.024,0.046,0.28,0.5,0.057,1.49
"Kiwi nutriion: Kiwifruit, green",61/255,83.07,1.14,0.52,14.66,3,8.99,34,0.31,17,34,312,3,87,92.7,0.027,0.025,0.341,0.183,0.063,1.46
Kumquat nutrition,71/296,80.85,1.88,0.86,15.9,6.5,9.36,62,0.86,20,19,186,10,290,43.9,0.037,0.09,0.429,0.208,0.036,0.15
Lemon nutrition: Lemon with peel,20/84,87.4,1.2,0.3,10.7,4.7,-,61,0.7,12,15,145,3,30,77,0.05,0.04,0.2,0.232,0.109,-
Lime nutrition,30/126,88.26,0.7,0.2,10.54,2.8,1.69,33,0.6,6,18,102,2,50,29.1,0.03,0.02,0.2,0.217,0.043,0.22
Litchis or Lychees nutrition,66/276,81.76,0.83,0.44,16.53,1.3,15.23,5,0.31,10,31,171,1,0,71.5,0.011,0.065,0.603,-,0.1,0.07
Mandarin-Clementine nutrition,47/198,86.58,0.85,0.15,12.02,1.7,9.18,30,0.14,10,21,177,1,-,48.8,0.086,0.03,0.636,0.151,0.075,0.2
Mandarin-Tangerine nutrition,53/223,85.17,0.81,0.31,13.34,1.8,10.58,37,0.15,12,20,166,2,681,26.7,0.058,0.036,0.376,0.216,0.078,0.2
Mango nutrition facts,65/272,81.71,0.51,0.27,17,1.8,14.8,10,0.13,9,11,156,2,765,27.7,0.058,0.057,0.584,0.16,0.134,1.12
"Melons, cantaloupe",34/141,90.15,0.84,0.19,8.16,0.9,7.86,9,0.21,12,15,267,16,3382,36.7,0.041,0.019,0.734,0.105,0.072,0.05
"Melons, casaba",28/118,91.85,1.11,0.1,6.58,0.9,5.69,11,0.34,11,5,182,9,0,21.8,0.015,0.031,0.232,0.084,0.163,0.05
"Melons, honeydew",36/150,89.82,0.54,0.14,9.09,0.8,8.12,6,0.17,10,11,228,18,50,18,0.038,0.012,0.418,0.155,0.088,0.02
"Mulberries, raw",43/180,87.68,1.44,0.39,9.8,1.7,8.1,39,1.85,18,38,194,10,25,36.4,0.029,0.101,0.62,-,0.05,0.87
Nectarine nutrition,44/185,87.59,1.06,0.32,10.55,1.7,7.89,6,0.28,9,26,201,0,332,5.4,0.034,0.027,1.125,0.185,0.025,0.77
Oranges nutrition facts,47/197,86.75,0.94,0.12,11.75,2.4,9.35,40,0.1,10,14,181,0,225,53.2,0.087,0.04,0.282,0.25,0.06,0.18
Papaya nutrition,39/163,88.83,0.61,0.14,9.81,1.8,5.9,24,0.1,10,5,257,3,1094,61.8,0.027,0.032,0.338,0.218,0.019,0.73
Passion fruit nutrition,97/406,72.93,2.2,0.7,23.38,10.4,11.2,12,1.6,29,68,348,28,1272,30,0,0.13,1.5,-,0.1,0.02
Peaches nutrition,39/165,88.87,0.91,0.25,9.54,1.5,8.39,6,0.25,9,20,190,0,326,6.6,0.024,0.031,0.806,0.153,0.025,0.73
Pear nutrition,58/242,83.71,0.38,0.12,15.46,3.1,9.8,9,0.17,7,11,119,1,23,4.2,0.012,0.025,0.157,0.048,0.028,0.12
"Persimmon nutrition: Persimmons, native",127/531,64.4,0.8,0.4,33.5,-,-,27,2.5,-,26,310,1,-,66,-,-,-,-,-,-
Pineapple nutrition,50/209,86,0.54,0.12,13.12,1.4,9.85,13,0.29,12,8,109,1,58,47.8,0.079,0.032,0.5,0.213,0.112,0.02
Plum nutrition,46/192,87.23,0.7,0.28,11.42,1.4,9.92,6,0.17,7,16,157,0,345,9.5,0.028,0.026,0.417,0.135,0.029,0.26
Pomegranate nutrition facts,83/346,77.93,1.67,1.17,18.7,4,13.67,10,0.3,12,36,236,3,0,10.2,0.067,0.053,0.293,0.377,0.075,0.6
Quince fruit,57/238,83.8,0.4,0.1,15.3,1.9,-,11,0.7,8,17,197,4,40,15,0.02,0.03,0.2,0.081,0.04,-
Raspberry nutrition,52/220,85.75,1.2,0.65,11.94,6.5,4.42,25,0.69,22,29,151,1,33,26.2,0.032,0.038,0.598,0.329,0.055,0.87
Strawberry nutrition facts,32/136,90.95,0.67,0.3,7.68,2,4.89,16,0.41,13,24,153,1,12,58.8,0.024,0.022,0.386,0.125,0.047,0.29
Tangerine nutrition,53/223,85.17,0.81,0.31,13.34,1.8,10.58,37,0.15,12,20,166,2,681,26.7,0.058,0.036,0.376,0.216,0.078,0.2
Watermelon nutrition facts,30/127,91.45,0.61,0.15,7.55,0.4,6.2,7,0.24,10,11,112,1,569,8.1,0.033,0.021,0.178,0.221,0.045,0.05
